,name,total,male_share,female_share,gap
97,Gentry,3703.829157,0.621410655,0.378589345,0.242821309
98,Ellison,3651.546836,0.352833543,0.647166457,0.294332914
99,Arin,3634.974321,0.38859858,0.61140142,0.222802839
100,Sol,3624.980544,0.551899845,0.448100155,0.10379969
101,Carrington,3616.3836,0.409038452,0.590961548,0.181923096
102,Dell,3615.033276,0.650476867,0.349523133,0.300953733
103,Carlin,3554.951422,0.555793446,0.444206554,0.111586892
104,Lennie,3533.447279,0.554154371,0.445845629,0.108308742
105,Dru,3445.961147,0.603141929,0.396858071,0.206283858
106,Alpha,3406.676728,0.380973771,0.619026229,0.238052457
107,Kiran,3405.697622,0.526568794,0.473431206,0.053137588
108,Tristyn,3336.366181,0.470470254,0.529529746,0.059059493
109,Camdyn,3274.913501,0.499923234,0.500076766,0.000153533
110,Krishna,3270.049176,0.494240423,0.505759577,0.011519153
111,Demetrice,3200.883393,0.474710134,0.525289866,0.050579731
112,Berkley,3184.659274,0.350632707,0.649367293,0.298734587
113,Linden,3155.870202,0.661140941,0.338859059,0.322281882
114,Mikah,3094.063238,0.603268756,0.396731244,0.206537512
115,Parris,3064.315071,0.537673923,0.462326077,0.075347847
116,Kalin,3021.240034,0.526623696,0.473376304,0.053247391
117,Kary,3020.968706,0.401284896,0.598715104,0.197430208
118,Arie,3014.123001,0.44960768,0.55039232,0.10078464
119,Aries,2964.756533,0.571238457,0.428761543,0.142476914
120,Rio,2960.443801,0.586188487,0.413811513,0.172376974
121,Sutton,2930.892868,0.556696757,0.443303243,0.113393514
122,Rhyan,2900.188369,0.398704042,0.601295958,0.202591916
123,Isa,2895.497837,0.466191698,0.533808302,0.067616603
124,Arlyn,2893.945006,0.45425077,0.54574923,0.09149846
125,Karsen,2872.427405,0.571991118,0.428008882,0.143982237
126,Seneca,2856.367471,0.514098437,0.485901563,0.028196874
127,Callan,2809.37665,0.657736007,0.342263993,0.315472013
128,Garnett,2797.598866,0.643788957,0.356211043,0.287577915
129,Micaiah,2749.93498,0.620467565,0.379532435,0.240935129
130,Christan,2684.978836,0.501137286,0.498862714,0.002274573
131,Aris,2549.033763,0.60176636,0.39823364,0.203532721
132,Tylar,2540.224111,0.57600622,0.42399378,0.152012441
133,Brighton,2534.958718,0.660835496,0.339164504,0.321670992
134,Merlyn,2500.628691,0.59192761,0.40807239,0.18385522
135,Kimani,2492.695778,0.552357813,0.447642187,0.104715626
136,Salem,2484.362235,0.521194097,0.478805903,0.042388193
137,Barrie,2480.799063,0.381565567,0.618434433,0.236868867
138,Braylin,2476.689792,0.633248988,0.366751012,0.266497976
139,Charly,2473.36083,0.368508795,0.631491205,0.26298241
140,Ocean,2470.958543,0.485112113,0.514887887,0.029775773
141,Ara,2398.501272,0.370169774,0.629830226,0.259660452
142,Deane,2395.830649,0.64530103,0.35469897,0.29060206
143,Andree,2375.252032,0.340060792,0.659939208,0.319878416
144,Natividad,2343.481904,0.462715137,0.537284863,0.074569725
145,Ardell,2327.065702,0.522882867,0.477117133,0.045765735
146,Divine,2322.744419,0.436621527,0.563378473,0.126756946
147,Ocie,2299.24497,0.530291594,0.469708406,0.060583188
148,Lakota,2298.545252,0.471156131,0.528843869,0.057687738
149,Ashtin,2291.99335,0.505544671,0.494455329,0.011089343
150,Larkin,2267.588897,0.507738103,0.492261897,0.015476207
151,Kamdyn,2266.011067,0.523264805,0.476735195,0.046529611
152,Waverly,2239.462468,0.477728781,0.522271219,0.044542438
153,Claudie,2203.604469,0.4946415,0.5053585,0.010716999
154,Lannie,2182.972994,0.602829348,0.397170652,0.205658695
155,Vernie,2155.660129,0.468198871,0.531801129,0.063602259
156,Adair,2154.719944,0.547555244,0.452444756,0.095110488
157,Kaidyn,2139.577902,0.576819282,0.423180718,0.153638564
158,Verdell,2133.742154,0.41847341,0.58152659,0.163053179
159,Jae,2106.066765,0.547065865,0.452934135,0.094131729
160,Aven,2090.059497,0.59613939,0.40386061,0.19227878
161,Kodie,2069.638392,0.547812556,0.452187444,0.095625112
162,Shalom,2060.595874,0.658794369,0.341205631,0.317588738
163,Daylin,2036.196151,0.576251238,0.423748762,0.152502476
164,Osiris,1997.239288,0.641802415,0.358197585,0.283604831
165,Dwan,1990.646038,0.564547633,0.435452367,0.129095265
166,Lashaun,1977.848391,0.378668868,0.621331132,0.242662264
167,Ashten,1969.697594,0.459275308,0.540724692,0.081449384
168,Dann,1959.445874,0.461800314,0.538199686,0.076399372
169,Shai,1950.991705,0.457984995,0.542015005,0.08403001
170,Teegan,1945.936273,0.517134096,0.482865904,0.034268192
171,Micha,1927.975901,0.45447298,0.54552702,0.09105404
172,Tobie,1921.187635,0.354512695,0.645487305,0.290974609
173,Jaelin,1910.944988,0.570012902,0.429987098,0.140025804
174,Marlowe,1893.814455,0.483657416,0.516342584,0.032685168
175,Kareen,1865.710053,0.37514272,0.62485728,0.24971456
176,Ryen,1827.655074,0.591886692,0.408113308,0.183773383
177,Marquette,1795.238032,0.65021576,0.34978424,0.300431521
178,Joell,1787.318885,0.455033672,0.544966328,0.089932656
179,Adel,1776.564727,0.576633384,0.423366616,0.153266769
180,Golden,1763.136515,0.623538569,0.376461431,0.247077137
181,An,1746.029349,0.460547889,0.539452111,0.078904222
182,Ossie,1740.230779,0.436514538,0.563485462,0.126970923
183,Stephane,1724.789877,0.370804581,0.629195419,0.258390839
184,Vinnie,1711.276531,0.366533192,0.633466808,0.266933616
185,Armoni,1707.359443,0.394623468,0.605376532,0.210753063
186,Berlin,1675.592169,0.393717979,0.606282021,0.212564041
187,Thanh,1671.332281,0.621414649,0.378585351,0.242829298
188,Jimi,1666.012608,0.637415202,0.362584798,0.274830404
189,Linn,1654.747322,0.548375044,0.451624956,0.096750089
190,Marvis,1653.1578,0.492993126,0.507006874,0.014013749
191,Tam,1647.93815,0.525162795,0.474837205,0.05032559
192,Kaylon,1644.939332,0.624760243,0.375239757,0.249520486
193,Kylin,1642.510785,0.520088092,0.479911908,0.040176185
194,Lajuan,1642.21941,0.599585503,0.400414497,0.199171006
195,Cameran,1611.747981,0.526148909,0.473851091,0.052297817
196,Shamari,1601.241909,0.42048197,0.57951803,0.15903606
197,Teddie,1595.122202,0.543811233,0.456188767,0.087622467
198,Laramie,1594.631205,0.564374085,0.435625915,0.128748171
199,Ricci,1585.31257,0.488588592,0.511411408,0.022822815
200,Jule,1555.296916,0.357332542,0.642667458,0.285334915
201,Cedar,1552.70581,0.555718008,0.444281992,0.111436016
202,Drue,1547.492989,0.569385894,0.430614106,0.138771788
203,Shade,1544.88143,0.46553075,0.53446925,0.068938501
204,Jeryl,1538.032514,0.40829329,0.59170671,0.183413419
205,Taylen,1535.983379,0.595155412,0.404844588,0.190310823
206,Devonne,1534.988374,0.412720968,0.587279032,0.174558065
207,Delane,1525.850038,0.469447343,0.530552657,0.061105314
208,Arnell,1518.343435,0.648371135,0.351628865,0.296742271
209,Earlie,1510.680394,0.617877714,0.382122286,0.235755429
210,Tenzin,1464.873785,0.559233375,0.440766625,0.11846675
211,Kendel,1464.373914,0.484885749,0.515114251,0.030228502
212,Arlis,1462.083094,0.663250362,0.336749638,0.326500725
213,Ashby,1459.223405,0.608203218,0.391796782,0.216406436
214,Shia,1450.051376,0.586154802,0.413845198,0.172309604
215,Berkeley,1447.964706,0.363027322,0.636972678,0.273945355
216,Lin,1434.757899,0.403574595,0.596425405,0.19285081
217,Freedom,1419.588662,0.344338179,0.655661821,0.311323642
218,Rylin,1405.565656,0.409514091,0.590485909,0.180971818
219,Aaryn,1391.675478,0.392251381,0.607748619,0.215497238
220,Mykah,1378.630611,0.382136299,0.617863701,0.235727401
221,Shaya,1373.047244,0.497961772,0.502038228,0.004076456
222,Tanis,1363.088001,0.338578978,0.661421022,0.322842044
223,Chancey,1357.860017,0.665674379,0.334325621,0.331348757
224,Jaidan,1353.840217,0.595128969,0.404871031,0.190257939
225,Jaydyn,1344.56751,0.544079451,0.455920549,0.088158902
226,Kaedyn,1342.72329,0.623275211,0.376724789,0.246550422
227,Talyn,1333.103591,0.481925098,0.518074902,0.036149804
228,Le,1323.979515,0.387719884,0.612280116,0.224560232
229,Hartley,1321.569286,0.497189274,0.502810726,0.005621452
230,Avon,1318.747786,0.658928511,0.341071489,0.317857022
231,Finnley,1313.456526,0.613938088,0.386061912,0.227876176
232,Schyler,1311.405147,0.555552965,0.444447035,0.11110593
233,Rennie,1307.957688,0.567809025,0.432190975,0.135618049
234,Aly,1298.699031,0.370464738,0.629535262,0.259070524
235,Kaydin,1293.967349,0.650571141,0.349428859,0.301142283
236,Camari,1292.573614,0.593439201,0.406560799,0.186878402
237,Clemmie,1288.247856,0.385628345,0.614371655,0.228743309
238,Payson,1280.568167,0.59397297,0.40602703,0.187945941
239,Anay,1278.824199,0.422374413,0.577625587,0.155251175
240,Devine,1270.283725,0.527148693,0.472851307,0.054297385
241,Terryl,1263.728601,0.505760225,0.494239775,0.011520449
242,Bao,1262.070243,0.54853928,0.45146072,0.097078561
243,Tru,1259.054676,0.45310658,0.54689342,0.09378684
244,Indiana,1241.572392,0.465717716,0.534282284,0.068564567
245,Evyn,1234.89999,0.472842142,0.527157858,0.054315717
246,Deniz,1226.69535,0.537619931,0.462380069,0.075239861
247,Emari,1223.375248,0.448215075,0.551784925,0.103569849
248,Davi,1218.88119,0.653500862,0.346499138,0.307001723
249,TRUE,1201.182194,0.556822389,0.443177611,0.113644778
250,De,1198.993461,0.513363924,0.486636076,0.026727848
251,Samar,1195.441393,0.368225433,0.631774567,0.263549135
252,Kriston,1194.67094,0.410758676,0.589241324,0.178482647
253,Lian,1191.954576,0.45772231,0.54227769,0.08455538
254,Brittan,1182.231829,0.354616049,0.645383951,0.290767902
255,Torre,1176.840612,0.6651107,0.3348893,0.3302214
256,Shawne,1173.510439,0.34790469,0.65209531,0.304190619
257,Kailen,1172.899859,0.469178863,0.530821137,0.061642274
258,Aundra,1172.128503,0.660575206,0.339424794,0.321150411
259,Halen,1151.043395,0.644029031,0.355970969,0.288058061
260,Yuki,1144.030879,0.370189214,0.629810786,0.259621572
261,Marshell,1133.685172,0.465523836,0.534476164,0.068952328
262,Rivers,1130.701023,0.66546732,0.33453268,0.330934639
263,Jaziah,1129.100128,0.524681637,0.475318363,0.049363273
264,Amaree,1110.775383,0.561031474,0.438968526,0.122062947
265,Mycah,1110.674706,0.421804294,0.578195706,0.156391412
266,Toy,1108.941987,0.419050361,0.580949639,0.161899278
267,Tien,1107.223237,0.594958653,0.405041347,0.189917307
268,Adi,1098.595416,0.40727435,0.59272565,0.1854513
269,Callahan,1097.194313,0.662782658,0.337217342,0.325565316
270,Jazz,1093.761948,0.589697382,0.410302618,0.179394764
271,Reign,1090.493726,0.35030059,0.64969941,0.299398819
272,Burnice,1082.020651,0.485566983,0.514433017,0.028866034
273,Jamy,1080.584735,0.334598512,0.665401488,0.330802977
274,Lavaughn,1073.002013,0.589975248,0.410024752,0.179950497
275,Adrean,1069.982513,0.627758174,0.372241826,0.255516349
276,Cache,1066.235232,0.574706461,0.425293539,0.149412922
277,Britain,1065.194805,0.543633196,0.456366804,0.087266392
278,Dalyn,1058.212286,0.665203739,0.334796261,0.330407477
279,Dondi,1055.754497,0.661484376,0.338515624,0.322968753
280,Dallis,1055.194322,0.521761342,0.478238658,0.043522685
281,Nazareth,1049.117378,0.612295507,0.387704493,0.224591014
282,Nieves,1043.052359,0.366033357,0.633966643,0.267933285
283,Jireh,1040.386483,0.482704634,0.517295366,0.034590733
284,Collen,1039.818143,0.55031619,0.44968381,0.10063238
285,Onyx,1034.681915,0.619032976,0.380967024,0.238065952
286,Raynell,1033.123788,0.384776268,0.615223732,0.230447463
287,Sonnie,1029.946621,0.474245167,0.525754833,0.051509667
288,Lyrik,1021.240142,0.376286555,0.623713445,0.24742689
289,Marice,1011.157308,0.63042431,0.36957569,0.26084862
290,Lexington,1006.492185,0.391422421,0.608577579,0.217155158
291,Chi,1000.513531,0.446562032,0.553437968,0.106875937
292,Eliyah,999.527175,0.364917127,0.635082873,0.270165746
293,Tonnie,989.239862,0.387829309,0.612170691,0.224341382
294,Teagen,979.78441,0.519568837,0.480431163,0.039137673
295,Rudi,970.191498,0.636472652,0.363527348,0.272945305
296,Kamani,953.566213,0.454033197,0.545966803,0.091933607
297,Han,951.241973,0.49264169,0.50735831,0.01471662
298,Jerre,950.874985,0.536068605,0.463931395,0.072137211
299,Alika,947.321531,0.540187666,0.459812334,0.080375332
300,Monta,941.063796,0.453235841,0.546764159,0.093528318
301,Jaydn,935.74131,0.614726626,0.385273374,0.229453251
302,Hadyn,926.30121,0.54549346,0.45450654,0.09098692
303,Kem,914.46861,0.641319208,0.358680792,0.282638417
304,Terrin,910.7775,0.573870853,0.426129147,0.147741706
305,Wisdom,909.725025,0.464049178,0.535950822,0.071901644
306,Natale,901.864284,0.601871496,0.398128504,0.203742992
307,Rossie,892.806341,0.371744194,0.628255806,0.256511611
308,Lugene,888.284575,0.478761112,0.521238888,0.042477776
309,Rebel,884.024521,0.452743715,0.547256285,0.09451257
310,Blayke,882.234279,0.627600196,0.372399804,0.255200391
311,Donyell,872.649431,0.557144548,0.442855452,0.114289096
312,Myrl,869.491606,0.501832538,0.498167462,0.003665075
313,Kaelen,862.728436,0.639216821,0.360783179,0.278433641
314,Miko,851.474358,0.47881419,0.52118581,0.04237162
315,Elza,847.576302,0.646089559,0.353910441,0.292179118
316,Kriss,835.690001,0.582886376,0.417113624,0.165772752
317,Shadow,825.52436,0.529790249,0.470209751,0.059580497
318,Raylen,818.709884,0.605509775,0.394490225,0.211019551
319,Ramey,811.497395,0.586068229,0.413931771,0.172136458
320,Jaryn,806.521407,0.599986039,0.400013961,0.199972077
321,Laren,804.308316,0.377728513,0.622271487,0.244542974
322,Leverne,802.818101,0.634892229,0.365107771,0.269784459
323,Khali,802.633638,0.522740162,0.477259838,0.045480324
324,Reiley,800.337736,0.365261811,0.634738189,0.269476378
325,Jaydee,798.057272,0.430360732,0.569639268,0.139278535
326,Luan,797.245459,0.471901876,0.528098124,0.056196247
327,Reily,796.287263,0.603698038,0.396301962,0.207396075
328,Caidyn,794.561122,0.569801671,0.430198329,0.139603342
329,Kaylor,794.271472,0.351044745,0.648955255,0.297910511
330,Juel,790.093471,0.584268421,0.415731579,0.168536843
331,Amrit,786.642927,0.574451066,0.425548934,0.148902132
332,Rayn,784.341578,0.564546435,0.435453565,0.129092871
333,Arien,782.936684,0.545012006,0.454987994,0.090024013
334,Britten,777.750504,0.586064465,0.413935535,0.17212893
335,Bela,760.563821,0.382293634,0.617706366,0.235412732
336,Arliss,758.632888,0.409518029,0.590481971,0.180963942
337,Aziah,758.497597,0.341495204,0.658504796,0.317009591
338,Lonie,755.868642,0.440114514,0.559885486,0.119770972
339,Pasha,748.990463,0.355944639,0.644055361,0.288110722
340,Caylen,748.902375,0.339105841,0.660894159,0.321788317
341,Talin,745.096319,0.611874274,0.388125726,0.223748547
342,Shaune,741.347119,0.569316215,0.430683785,0.138632431
343,Valen,735.983288,0.610908501,0.389091499,0.221817001
344,Ozie,735.766434,0.487206117,0.512793883,0.025587767
345,Dung,735.265634,0.617169789,0.382830211,0.234339577
346,Avry,731.426697,0.496191475,0.503808525,0.007617049
347,Zamari,729.95515,0.651475198,0.348524802,0.302950396
348,Kam,728.774296,0.501174689,0.498825311,0.002349378
349,Ronit,726.408001,0.564044363,0.435955637,0.128088725
350,Kelin,719.439015,0.585042928,0.414957072,0.170085856
351,Teigan,714.664818,0.423542605,0.576457395,0.152914789
352,Sun,714.643067,0.395541852,0.604458148,0.208916297
353,Karlin,713.305261,0.431307416,0.568692584,0.137385168
354,Lenell,702.26537,0.641857291,0.358142709,0.283714582
355,Jaleen,700.570415,0.528824415,0.471175585,0.05764883
356,Amory,698.662333,0.488430259,0.511569741,0.023139483
357,Loghan,692.909696,0.528497109,0.471502891,0.056994218
358,Kemani,692.781324,0.468092792,0.531907208,0.063814417
359,Aarin,692.676825,0.587845691,0.412154309,0.175691382
360,Elizah,692.517245,0.509646062,0.490353938,0.019292125
361,Maysen,689.180053,0.419162995,0.580837005,0.16167401
362,Yu,683.489357,0.488130217,0.511869783,0.023739566
363,Bergen,682.925024,0.432890077,0.567109923,0.134219847
364,Jalani,673.616259,0.628366613,0.371633387,0.256733226
365,Jamille,673.479423,0.365245444,0.634754556,0.269509112
366,Adama,672.71467,0.398334508,0.601665492,0.203330984
367,Laray,665.522256,0.507165798,0.492834202,0.014331596
368,Sully,665.517623,0.578048364,0.421951636,0.156096727
369,Latrelle,665.308862,0.33997472,0.66002528,0.32005056
370,Onnie,664.357223,0.39905964,0.60094036,0.201880721
371,Khanh,662.75548,0.577514458,0.422485542,0.155028917
372,Amil,661.805231,0.653056818,0.346943182,0.306113635
373,Braylyn,661.552177,0.423209748,0.576790252,0.153580504
374,Tanay,661.063212,0.534292875,0.465707125,0.06858575
375,Kailan,659.232761,0.395082509,0.604917491,0.209834983
376,Caelin,659.158099,0.433926496,0.566073504,0.132147009
377,Alexandr,656.239956,0.548321546,0.451678454,0.096643091
378,Daryan,656.138076,0.607669196,0.392330804,0.215338392
379,Wallis,654.622062,0.426327353,0.573672647,0.147345294
380,Kelechi,648.648494,0.656494551,0.343505449,0.312989103
381,Javonne,646.051594,0.45328526,0.54671474,0.093429479
382,Gean,645.994681,0.466251082,0.533748918,0.067497836
383,Kao,645.458334,0.627883894,0.372116106,0.255767787
384,Cypress,642.754615,0.413364543,0.586635457,0.173270913
385,Tamari,639.320661,0.344429619,0.655570381,0.311140761
386,Evann,634.337944,0.545879568,0.454120432,0.091759137
387,Tarren,632.967007,0.642046084,0.357953916,0.284092168
388,Jeffie,627.715909,0.468665609,0.531334391,0.062668781
389,Amel,625.482374,0.520288174,0.479711826,0.040576347
390,Jaspreet,623.708833,0.397465817,0.602534183,0.205068366
391,Amen,623.660314,0.665337642,0.334662358,0.330675285
392,Neema,617.783584,0.405425781,0.594574219,0.189148438
393,Hien,613.08858,0.475377196,0.524622804,0.049245608
394,Lorren,612.715537,0.372486913,0.627513087,0.255026174
395,Jonel,612.650548,0.498816799,0.501183201,0.002366403
396,Kelyn,610.690619,0.398369435,0.601630565,0.20326113
397,Jodeci,608.175239,0.468029534,0.531970466,0.063940931
398,Alexy,607.478474,0.451518875,0.548481125,0.096962251
399,Jayln,606.543254,0.638398026,0.361601974,0.276796052
400,Chayanne,601.107466,0.632398908,0.367601092,0.264797816
401,Brittain,598.385006,0.571254488,0.428745512,0.142508975
402,Selby,595.127455,0.603226848,0.396773152,0.206453697
403,Akili,591.896442,0.632983543,0.367016457,0.265967086
404,Kimari,591.479976,0.347166314,0.652833686,0.305667372
405,Anmol,590.472412,0.536417175,0.463582825,0.072834349
406,Kirin,590.139974,0.427012831,0.572987169,0.145974338
407,Min,589.129682,0.611706546,0.388293454,0.223413092
408,Eri,587.186027,0.550213219,0.449786781,0.100426438
409,Bralyn,582.769557,0.594321889,0.405678111,0.188643778
410,Alyn,582.742595,0.377639345,0.622360655,0.24472131
411,Osie,580.951667,0.457289346,0.542710654,0.085421308
412,Shiva,580.950328,0.591622844,0.408377156,0.183245687
413,Kamerin,580.529332,0.651753579,0.348246421,0.303507159
414,Pheonix,578.351431,0.570794908,0.429205092,0.141589817
415,Abrar,576.900756,0.482330517,0.517669483,0.035338966
416,Darnelle,573.536531,0.5930687,0.4069313,0.186137401
417,Haydin,572.946492,0.620076272,0.379923728,0.240152545
418,Davonne,559.431911,0.657912861,0.342087139,0.315825722
419,Makana,556.047924,0.603659833,0.396340167,0.207319666
420,Ayomide,554.577639,0.591816561,0.408183439,0.183633122
421,Daine,554.40281,0.497965057,0.502034943,0.004069886
422,Avrey,541.782016,0.455458106,0.544541894,0.089083788
423,Truth,541.390661,0.59158584,0.40841416,0.18317168
424,Uchenna,539.67233,0.662273888,0.337726112,0.324547775
425,Gracin,537.308384,0.657866256,0.342133744,0.315732512
426,Chong,536.896691,0.601014868,0.398985132,0.202029736
427,Marrion,536.009629,0.619897901,0.380102099,0.239795802
428,Atley,535.308139,0.541420668,0.458579332,0.082841335
429,Luverne,534.767742,0.539084921,0.460915079,0.078169842
430,Lunden,534.000961,0.409396876,0.590603124,0.181206249
431,Manpreet,533.557713,0.373613499,0.626386501,0.252773002
432,Kodee,533.325804,0.500158233,0.499841767,0.000316467
433,Kyri,530.500126,0.372936353,0.627063647,0.254127295
434,Donnelle,530.211598,0.430884077,0.569115923,0.138231846
435,Koree,529.952254,0.390634291,0.609365709,0.218731418
436,Riyan,528.259191,0.508945907,0.491054093,0.017891814
437,Sagan,526.849373,0.551514565,0.448485435,0.103029131
438,Teran,523.613117,0.652587361,0.347412639,0.305174721
439,Avory,522.679555,0.430079943,0.569920057,0.139840115
440,Lior,520.632626,0.649435182,0.350564818,0.298870363
441,Hoa,519.884708,0.490706243,0.509293757,0.018587513
442,Alexx,519.454611,0.639755284,0.360244716,0.279510567
443,Arleigh,515.496346,0.362335309,0.637664691,0.275329381
444,Brier,514.257293,0.652893835,0.347106165,0.305787669
445,Lyndall,513.422172,0.400412053,0.599587947,0.199175894
446,Terin,510.907222,0.348401822,0.651598178,0.303196356
447,Kallan,509.422604,0.464920237,0.535079763,0.070159525
448,Maika,505.696628,0.352002153,0.647997847,0.295995693
449,Trayce,504.464568,0.609030718,0.390969282,0.218061436
450,Deavion,502.716145,0.61916425,0.38083575,0.2383285
451,Indy,501.475923,0.432666477,0.567333523,0.134667046
452,Ellington,500.417504,0.582859803,0.417140197,0.165719607
453,Feliz,498.528778,0.484331853,0.515668147,0.031336293
454,Alexiz,498.397451,0.472690576,0.527309424,0.054618849
455,Neftaly,498.136952,0.661497361,0.338502639,0.322994721
456,Kaegan,495.71034,0.647413631,0.352586369,0.294827261
457,Edris,495.269629,0.373753441,0.626246559,0.252493118
458,Harpreet,495.17132,0.493564682,0.506435318,0.012870636
459,Jailin,489.922734,0.406488232,0.593511768,0.187023536
460,Mackinley,489.579285,0.553750607,0.446249393,0.107501213
461,Kendle,489.30663,0.353231404,0.646768596,0.293537192
